Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Malaysia,MYS,3.39000010490417,3.04999995231628,3.09999990463257,3.16000008583069,2.88000011444092,3.09999990463257,3.44000005722046,3.41000008583069,3.29999995231628,3.25999999046326,4.53999996185303,4.0460000038147
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,China,CHN,4.53000020980835,4.55000019073486,4.57999992370605,4.59999990463257,4.63000011444092,4.65000009536743,4.55999994277954,4.46999979019165,4.30999994277954,4.55999994277954,5,4.55000019073486
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Indonesia,IDN,5.6100001335144,5.15000009536743,4.46999979019165,4.34000015258789,4.05000019073486,4.51000022888184,4.30000019073486,3.77999997138977,4.3899998664856,3.58999991416931,4.25,3.82999992370605
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,India,IND,8.31900024414063,8.16800022125244,8.09500026702881,8.03699970245361,7.98099994659424,7.91499996185303,7.84200000762939,7.73299980163574,7.65000009536743,6.51000022888184,10.1949996948242,7.71299982070923
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Australia,AUS,5.21000003814697,5.07999992370605,5.21999979019165,5.65999984741211,6.07999992370605,6.05000019073486,5.71000003814697,5.59000015258789,5.30000019073486,5.15999984741211,6.46000003814697,5.11999988555908
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/01/2023,,,,,,,,,,,,,,,
